Company,Price,Change
Microsoft Corporation (MSFT),522.04,+1.20
International Business Machines Corporation (IBM),242.27,-6.21
Alphabet Inc. (GOOGL),201.42,+4.90
Apple Inc. (AAPL),229.35,+9.32
GE Aerospace (GE),275.01,+2.99
"Amazon.com, Inc. (AMZN)",222.69,-0.44
"Tesla, Inc. (TSLA)",329.67,+7.41
ProShares S&P 500 Dynamic Daily Buffer ETF (FB),40.30,-0.24
Union Pacific Corporation (UNP),221.26,+1.87
McDonald's Corporation (MCD),305.45,-2.46
Verizon Communications Inc. (VZ),43.15,+0.20
Intel Corporation (INTC),19.95,+0.18
